date,images_published,images_published_with_alt_text
2022-12-01,18,0
2022-12-02,57,0
2022-12-03,25,0
2022-12-04,78,1
2022-12-05,45,0
2022-12-06,26,1
2022-12-07,132,53
2022-12-08,51,0
2022-12-09,31,0
2022-12-10,19,0
2022-12-11,2,0
2022-12-12,3,0
2022-12-13,3,0
2022-12-14,1,0
2022-12-15,7,0
2022-12-16,2,0
2022-12-17,26,0
2022-12-18,2,0
2022-12-19,2,0
2022-12-20,14,0
2022-12-21,11,0
2022-12-22,9,0
2022-12-23,101,0
2022-12-24,3,0
2022-12-27,6,0
2022-12-28,12,0
2022-12-29,16,0
2022-12-30,20,0
2022-12-31,41,0
2023-01-01,14,0
2023-01-02,1,0
2023-01-03,12,0
2023-01-04,14,0
2023-01-05,16,4
2023-01-06,21,0
2023-01-07,20,0
2023-01-08,11,0
2023-01-09,18,2
2023-01-10,22,2
2023-01-11,17,4
2023-01-12,15,0
2023-01-13,38,0
2023-01-14,22,1
2023-01-15,19,3
2023-01-16,31,1
2023-01-17,17,5
2023-01-18,30,3
2023-01-19,16,0
2023-01-20,30,1
2023-01-21,13,0
2023-01-22,69,4
2023-01-23,35,2
2023-01-24,30,4
2023-01-25,12,3
2023-01-26,48,2
2023-01-27,22,1
2023-01-28,23,0
2023-01-29,26,11
2023-01-30,36,17
2023-01-31,18,10
2023-02-01,220,13
2023-02-02,28,7
2023-02-03,17,4
2023-02-04,6,2
2023-02-05,28,9
2023-02-06,40,24
2023-02-07,10,4
2023-02-08,30,14
2023-02-09,15,11
2023-02-10,21,10
2023-02-11,23,4
2023-02-12,35,17
2023-02-13,26,23
2023-02-14,26,15
2023-02-15,76,35
2023-02-16,54,29
2023-02-17,20,14
2023-02-18,18,4
2023-02-19,10,5
2023-02-20,94,30
2023-02-21,41,15
2023-02-22,32,27
2023-02-23,30,14
2023-02-24,38,23
2023-02-25,19,7
2023-02-26,12,0
2023-02-27,11,7
2023-02-28,3,2
2023-03-01,9,1
2023-03-02,24,14
2023-03-03,25,5
2023-03-04,14,0
2023-03-05,11,1
2023-03-06,22,16
2023-03-07,55,42
2023-03-08,27,9
2023-03-09,57,20
2023-03-11,5,0
2023-03-12,84,5
2023-03-13,52,38
2023-03-14,51,31
2023-03-15,34,22
2023-03-16,32,20
2023-03-17,34,13
2023-03-18,30,12
2023-03-19,68,25
2023-03-20,42,29
2023-03-21,55,12
2023-03-22,61,20
2023-03-23,14,12
2023-03-24,40,13
2023-03-25,5,0
2023-03-26,37,15
2023-03-27,72,38
2023-03-28,55,48
2023-03-29,31,21
2023-03-30,55,21
2023-03-31,18,14
2023-04-01,6,0
2023-04-02,41,33
2023-04-03,42,37
2023-04-04,47,26
2023-04-05,16,5
2023-04-06,56,43
2023-04-07,14,6
2023-04-08,11,4
2023-04-09,23,10
2023-04-10,34,29
2023-04-11,18,12
2023-04-12,47,10
2023-04-13,37,6
2023-04-14,7,5
2023-04-16,13,6
2023-04-17,65,58
2023-04-18,48,8
2023-04-19,47,36
2023-04-20,22,15
2023-04-21,6,3
2023-04-22,9,7
2023-04-23,10,9
2023-04-24,17,15
2023-04-25,4,4
2023-04-26,3,3
2023-04-27,3,3
2023-04-28,5,4
2023-04-29,4,4
2023-04-30,28,11
2023-05-01,4,4
2023-05-02,51,35
2023-05-03,9,8
2023-05-04,9,9
2023-05-05,0,0
2023-05-07,1,0
2023-05-08,8,4
2023-05-09,7,7
2023-05-10,15,7
2023-05-11,9,5
2023-05-12,1,1
2023-05-13,2,0
2023-05-14,5,2
2023-05-15,4,3
2023-05-16,16,14
